Country,Decision,Team 1,Team 2,Winner,Ground,team composition,weather_status,strike_rate,Margin_Wickets,Margin_Runs
New Zealand,field,New Zealand,Sri Lanka,New Zealand,Bengaluru,"[1, 2, 2, 2, 8, 7, 7, 10, 10, 10, 10]",3.0,"[90.96, 92.88, 86.6, 95.66, 89.79, 82.9, 78.59, 31.87, 29.5, 35.17, 24.87]",5,0
Bangladesh,field,Bangladesh,Sri Lanka,Bangladesh,Delhi,"[1, 3, 1, 1, 2, 5, 7, 10, 10, 10, 10]",2.0,"[90.96, 92.88, 86.6, 95.66, 89.79, 82.9, 78.59, 29.5, 35.17, 36.11, 24.87]",3,0
Sri Lanka,field,India,Sri Lanka,India,Wankhede,"[1, 3, 2, 2, 8, 7, 7, 10, 10, 10, 10]",1.0,"[91.97, 103.46, 93.58, 101.27, 87.82, 105.02, 85.06, 23.68, 23.55, 26.01, 22.79]",0,302
Afghanistan,field,Afghanistan,Sri Lanka,Afghanistan,Pune,"[2, 1, 1, 7, 2, 8, 8, 7, 9, 10, 10]",2.0,"[90.96, 79.56, 86.6, 95.66, 89.79, 78.59, 82.9, 35.17, 29.5, 36.11, 24.87]",7,0
England,bat,England,Sri Lanka,Sri Lanka,Bengaluru,"[3, 3, 8, 8, 7, 2, 7, 10, 9, 10, 10]",2.0,"[102.92, 97.44, 86.77, 95.68, 117.11, 102.95, 98.16, 89.12, 23.13, 32.04, 39.46]",8,0
Netherlands,bat,Netherlands,Sri Lanka,Sri Lanka,Lucknow,"[1, 2, 2, 2, 8, 7, 10, 9, 10, 10, 10]",1.0,"[94.59, 121.39, 115.67, 105.9, 100.0, 121.55, 157.79, 23.42, 19.73, 27.75, 21.21]",5,0
Sri Lanka,bat,Australia,Sri Lanka,Australia,Lucknow,"[1, 2, 2, 2, 8, 7, 7, 10, 10, 10, 10]",2.0,"[90.96, 92.88, 86.6, 95.66, 89.79, 78.59, 34.47, 31.87, 29.5, 32.28, 24.87]",5,0
Sri Lanka,bat,Pakistan,Sri Lanka,Pakistan,Hyderabad,"[2, 4, 1, 3, 2, 4, 9, 10, 10, 10, 10]",2.0,"[90.96, 92.88, 86.6, 95.66, 89.79, 78.59, 91.47, 34.47, 29.5, 17.09, 24.87]",6,0
Sri Lanka,field,South Africa,Sri Lanka,South Africa,Delhi,"[1, 2, 2, 2, 8, 7, 7, 10, 7, 10, 10]",3.0,"[96.64, 89.04, 87.21, 98.28, 115.17, 144.55, 32.51, 23.22, 30.65, 27.77, 28.5]",0,102
Sri Lanka,bat,Sri Lanka,India,India,Colombo (RPS),"[1, 3, 5, 2, 4, 7, 4, 7, 10, 9, 10]",1.0,"[90.96, 92.88, 86.6, 95.66, 89.79, 78.59, 91.47, 34.47, 60.6, 18.83, 17.09]",10,0
Pakistan,bat,Sri Lanka,Pakistan,Sri Lanka,Colombo (RPS),"[1, 3, 1, 2, 2, 7, 7, 9, 10, 10, 10]",1.0,"[88.32, 93.44, 88.75, 89.8, 127.27, 88.64, 106.59, 85.75, 23.94, 25.17, 33.5]",2,0
India,bat,Sri Lanka,India,India,Colombo (RPS),"[1, 3, 2, 2, 8, 7, 7, 10, 10, 10, 10]",1.0,"[91.97, 103.46, 93.58, 102.19, 87.82, 110.35, 85.06, 32.86, 23.55, 26.01, 22.79]",0,41
Bangladesh,field,Sri Lanka,Bangladesh,Sri Lanka,Colombo (RPS),"[1, 3, 2, 2, 8, 7, 7, 10, 10, 10, 10]",2.0,"[90.96, 79.56, 86.6, 95.66, 89.79, 78.59, 91.47, 34.47, 29.5, 36.11, 17.09]",0,21
